Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	18:30 3/3/2020	129
Lana	18:30 3/3/2020	109
Mike	5:48 1/4/3921	149
Mike	5:48 1/4/3921	176
Lana	5:48 1/4/3921	113
Tom	5:48 1/4/3921	133
Mike	5:49 1/4/3921	127
TomH	8:42 1/3/2021	121
Tom	8:42 1/3/2021	170
Jim	8:42 1/3/2021	129
BB	8:43 1/3/2021	143
Mike	8:43 1/3/2021	133
TomH	8:43 1/3/2021	152
Mike	8:43 1/3/2021	128
Tom	8:44 1/3/2021	101
Jim	8:44 1/3/2021	116
BB	8:44 1/3/2021	164
Lana	8:44 1/3/2021	89
TomH	8:44 1/3/2021	119
Lana	9:2 1/4/3921	132
Lana	9:2 1/4/3921	128
Jim	9:16 1/4/3921	133
Lana	19:11 1/4/3921	103
Lana	22:55 2/4/3921	148
Tom	22:56 2/4/3921	134
Mike	22:58 2/4/3921	115
Mike	23:4 2/4/3921	170
Tom	23:7 2/4/3921	120
Jim	23:20 2/4/3921	111
Tom	23:22 2/4/3921	126
Jim	3:16 2/7/3921	116
Tom	3:19 2/7/3921	97
Jim	3:19 2/7/3921	156
Tom	3:20 2/7/3921	109
Jim	3:20 2/7/3921	169
Mike	12:32 2/7/3921	141
Mike	12:33 2/7/3921	138
A	12:36 2/7/3921	127
Lana	12:38 2/7/3921	137
